Tournament Results - Cross Table

Team,Class_selection,Rb,Rk2,Priyanshu,Bottom_frag,Error11,Supreme_leader,Autism,Losers,Rohan,Dairy_milk,Ohm,Banach_Coders,Aditya,Kirmada,Sattvik,Total Wins
Class_selection,X,674,723,765,638,830,867,866,898,900,957,977,1003,1023,1024,1024,13169
Rb,350,X,598,573,412,675,693,720,844,764,896,938,984,971,1024,1024,11466
Rk2,301,426,X,552,424,646,683,635,669,730,865,901,929,965,1024,1024,10774
Priyanshu,259,451,472,X,359,599,641,639,646,663,839,928,938,874,1024,1024,10356
Bottom_frag,386,612,600,665,X,776,832,768,431,346,560,963,955,1023,155,1024,10096
Error11,194,349,378,425,248,X,519,497,738,618,724,843,913,964,1024,1023,9457
Supreme_leader,157,331,341,383,192,505,X,518,507,544,799,908,896,848,1024,1024,8977
Autism,158,304,389,385,256,527,506,X,494,558,813,872,803,864,1022,1024,8975
Losers,126,180,355,378,259,286,517,530,X,665,489,746,801,967,629,1020,7948
Rohan,124,260,294,361,147,406,480,466,359,X,631,789,752,835,1015,1020,7939
Dairy_milk,67,128,159,185,120,300,225,211,432,393,X,551,712,739,1023,1013,6258
Ohm,47,86,123,96,61,181,116,152,278,235,473,X,526,364,1012,995,4745
Banach_Coders,21,40,95,86,69,111,128,221,223,272,312,498,X,455,1008,1010,4549
Aditya,1,53,59,150,1,60,176,160,57,189,285,660,569,X,1011,1021,4452
Kirmada,0,0,0,0,0,0,0,2,15,1,0,12,16,13,X,530,589
Sattvik,0,0,0,0,0,1,0,0,4,4,11,29,14,3,387,X,453

Final Rankings:
Rank,Team,Total Wins
1,Class_selection,13169
2,Rb,11466
3,Rk2,10774
4,Priyanshu,10356
5,Bottom_frag,10096
6,Error11,9457
7,Supreme_leader,8977
8,Autism,8975
9,Losers,7948
10,Rohan,7939
11,Dairy_milk,6258
12,Ohm,4745
13,Banach_Coders,4549
14,Aditya,4452
15,Kirmada,589
16,Sattvik,453

Generated on:,2025-10-25 15:42:14
