Tournament Results - Cross Table

Team,Class_selection,Rb,Rk2,Priyanshu,Bottom_frag,co_pilot,Error11,Autism,Supreme_leader,Losers,ml_bot,Rohan,Dairy_milk,Ohm,Banach_Coders,Aditya,Kirmada,Sattvik,Total Wins
Class_selection,X,84,94,85,82,107,109,104,112,110,111,118,121,118,127,128,128,128,1866
Rb,44,X,74,69,50,80,81,86,93,107,90,95,114,121,123,119,127,128,1601
Rk2,34,54,X,64,61,88,77,81,79,87,72,90,111,110,115,120,126,128,1497
Priyanshu,43,59,64,X,48,78,80,70,79,76,71,92,106,115,111,113,127,128,1460
Bottom_frag,46,78,67,80,X,59,95,97,102,44,82,49,74,117,122,127,18,128,1385
co_pilot,21,48,40,50,41,X,66,70,72,72,63,85,86,106,114,125,128,128,1315
Error11,19,47,51,48,33,62,X,63,66,88,68,81,90,106,106,119,124,128,1299
Autism,24,42,47,58,31,58,65,X,65,57,70,73,100,98,98,111,127,128,1252
Supreme_leader,16,35,49,49,26,56,62,63,X,60,78,67,102,108,104,104,122,128,1229
Losers,18,21,41,52,40,52,40,71,68,X,49,87,66,93,97,126,37,127,1085
ml_bot,17,38,56,57,36,54,60,58,50,44,X,50,72,101,102,109,29,128,1061
Rohan,10,33,38,36,18,43,47,55,61,41,38,X,75,94,95,106,115,126,1031
Dairy_milk,7,14,17,22,13,40,38,28,26,50,19,53,X,58,77,86,122,127,797
Ohm,10,7,18,13,11,22,22,30,20,35,27,34,70,X,73,42,104,122,660
Banach_Coders,1,5,13,17,6,14,22,30,24,31,26,33,51,55,X,66,104,127,625
Aditya,0,9,8,15,1,3,9,17,24,2,19,22,42,86,62,X,106,128,553
Kirmada,0,1,2,1,0,0,4,1,6,12,4,13,6,24,24,22,X,109,229
Sattvik,0,0,0,0,0,0,0,0,0,1,0,2,1,6,1,0,19,X,30

Final Rankings:
Rank,Team,Total Wins
1,Class_selection,1866
2,Rb,1601
3,Rk2,1497
4,Priyanshu,1460
5,Bottom_frag,1385
6,co_pilot,1315
7,Error11,1299
8,Autism,1252
9,Supreme_leader,1229
10,Losers,1085
11,ml_bot,1061
12,Rohan,1031
13,Dairy_milk,797
14,Ohm,660
15,Banach_Coders,625
16,Aditya,553
17,Kirmada,229
18,Sattvik,30

Generated on:,2025-10-25 18:08:18
